,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16797,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,47.6,47.8,47.7,Monday,20240101,AUD16797
16799,5:30:00,AUD,Commodity Prices (YoY),-0.107,,-0.128,Tuesday,20240102,AUD16799
16802,22:00:00,AUD,Judo Bank Australia Services PMI,47.1,47.6,46,Wednesday,20240103,AUD16802
16804,20:30:00,AUD,CFTC AUD speculative net positions,-42.9K,,-51.3K,Friday,20240105,AUD16804
16806,0:30:00,AUD,Building Approvals (YoY) (Nov),-0.046,,-0.055,Tuesday,20240109,AUD16806
16807,0:30:00,AUD,Building Approvals (MoM) (Nov),0.016,-0.02,0.072,Tuesday,20240109,AUD16807
16808,0:30:00,AUD,Private House Approvals (Nov),-0.017,,0.029,Tuesday,20240109,AUD16808
16809,0:30:00,AUD,Retail Sales (MoM) (Nov),0.02,0.012,-0.004,Tuesday,20240109,AUD16809
16811,0:30:00,AUD,Monthly CPI Indicator (YoY) (Nov),0.043,0.044,0.049,Wednesday,20240110,AUD16811
16813,0:30:00,AUD,Exports (MoM) (Nov),0.017,,0.008,Thursday,20240111,AUD16813
16814,0:30:00,AUD,Imports (MoM) (Nov),-0.079,,-0.029,Thursday,20240111,AUD16814
16815,0:30:00,AUD,Trade Balance (Nov),11.437B,7.500B,7.660B,Thursday,20240111,AUD16815
16817,0:30:00,AUD,Home Loans (MoM),0.005,0,0.056,Friday,20240112,AUD16817
16818,0:30:00,AUD,Invest Housing Finance (MoM),0.019,,0.083,Friday,20240112,AUD16818
16819,2:00:00,AUD,Thomson Reuters IPSOS PCSI (MoM) (Jan),50.16,,47.39,Friday,20240112,AUD16819
16821,20:30:00,AUD,CFTC AUD speculative net positions,-32.3K,,-42.9K,Friday,20240112,AUD16821
16823,0:30:00,AUD,ANZ Job Advertisements (MoM),0.001,,-0.051,Monday,20240115,AUD16823
16824,0:30:00,AUD,MI Inflation Gauge (MoM),0.01,,0.003,Monday,20240115,AUD16824
16826,23:30:00,AUD,Westpac Consumer Sentiment (Jan),-0.013,,0.027,Monday,20240115,AUD16826
16827,0:30:00,AUD,Building Approvals (YoY),-0.046,-0.046,-0.055,Tuesday,20240116,AUD16827
16828,0:30:00,AUD,Building Approvals (MoM),0.016,0.016,0.072,Tuesday,20240116,AUD16828
16829,0:30:00,AUD,Private House Approvals,-0.017,-0.017,0.029,Tuesday,20240116,AUD16829
16831,0:00:00,AUD,MI Inflation Expectations,0.045,,0.045,Thursday,20240118,AUD16831
16832,0:30:00,AUD,Employment Change (Dec),-65.1K,17.6K,72.6K,Thursday,20240118,AUD16832
16833,0:30:00,AUD,Full Employment Change (Dec),-106.6K,,57.0K,Thursday,20240118,AUD16833
16834,0:30:00,AUD,Participation Rate (Dec),0.668,0.671,0.673,Thursday,20240118,AUD16834
16835,0:30:00,AUD,Reserve Assets Total (Dec),89.4B,,91.9B,Thursday,20240118,AUD16835
16836,0:30:00,AUD,Unemployment Rate (Dec),0.039,0.039,0.039,Thursday,20240118,AUD16836
16838,20:30:00,AUD,CFTC AUD speculative net positions,-47.9K,,-32.3K,Friday,20240119,AUD16838
16840,0:30:00,AUD,NAB Business Confidence (Dec),-1,,-8,Tuesday,20240123,AUD16840
16841,0:30:00,AUD,NAB Business Survey (Dec),7,,9,Tuesday,20240123,AUD16841
16843,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,50.3,,47.6,Tuesday,20240123,AUD16843
