,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16065,14:30:00,CAD,S&P Global Canada Manufacturing PMI (Dec),45.4,,47.7,Tuesday,20240102,CAD16065
16067,13:15:00,CAD,Reserve Assets Total (Dec),118.3B,,115.4B,Thursday,20240104,CAD16067
16069,13:30:00,CAD,Avg hourly wages Permanent employee (Dec),0.057,,0.05,Friday,20240105,CAD16069
16070,13:30:00,CAD,Employment Change (Dec),0.1K,13.5K,24.9K,Friday,20240105,CAD16070
16071,13:30:00,CAD,Full Employment Change (Dec),-23.5K,,59.6K,Friday,20240105,CAD16071
16072,13:30:00,CAD,Part Time Employment Change (Dec),23.6K,,-34.7K,Friday,20240105,CAD16072
16073,13:30:00,CAD,Participation Rate (Dec),0.654,,0.656,Friday,20240105,CAD16073
16074,13:30:00,CAD,Unemployment Rate (Dec),0.058,0.059,0.058,Friday,20240105,CAD16074
16075,15:00:00,CAD,Ivey PMI n.s.a (Dec),43.7,,53.2,Friday,20240105,CAD16075
16076,15:00:00,CAD,Ivey PMI (Dec),56.3,55,54.7,Friday,20240105,CAD16076
16077,20:30:00,CAD,CFTC CAD speculative net positions,-21.1K,,-34.7K,Friday,20240105,CAD16077
16079,13:30:00,CAD,Building Permits (MoM) (Nov),-0.039,-0.017,0.03,Tuesday,20240109,CAD16079
16080,13:30:00,CAD,Exports (Nov),65.74B,,66.17B,Tuesday,20240109,CAD16080
16081,13:30:00,CAD,Imports (Nov),64.17B,,62.97B,Tuesday,20240109,CAD16081
16082,13:30:00,CAD,Trade Balance (Nov),1.57B,2.00B,3.20B,Tuesday,20240109,CAD16082
16084,15:00:00,CAD,Thomson Reuters IPSOS PCSI (MoM) (Jan),49.46,,46.57,Wednesday,20240110,CAD16084
16086,11:00:00,CAD,Leading Index (MoM) (Dec),0.0005,,-0.0001,Friday,20240112,CAD16086
16087,20:30:00,CAD,CFTC CAD speculative net positions,-7.4K,,-21.1K,Friday,20240112,CAD16087
16089,13:30:00,CAD,Manufacturing Sales (MoM),0.012,0.01,-0.029,Monday,20240115,CAD16089
16090,13:30:00,CAD,New Motor Vehicle Sales (MoM),143.7K,,151.1K,Monday,20240115,CAD16090
16091,13:30:00,CAD,Wholesale Sales (MoM) (Nov),0.009,0.008,-0.003,Monday,20240115,CAD16091
16094,13:15:00,CAD,Housing Starts (Dec),249.3K,243.0K,210.9K,Tuesday,20240116,CAD16094
16095,13:30:00,CAD,Common CPI (YoY) (Dec),0.039,0.038,0.039,Tuesday,20240116,CAD16095
16096,13:30:00,CAD,Core CPI (YoY) (Dec),0.026,,0.028,Tuesday,20240116,CAD16096
16097,13:30:00,CAD,Core CPI (MoM) (Dec),-0.005,,0.001,Tuesday,20240116,CAD16097
16098,13:30:00,CAD,CPI (MoM) (Dec),-0.003,-0.003,0.001,Tuesday,20240116,CAD16098
16099,13:30:00,CAD,CPI (YoY) (Dec),0.034,0.034,0.031,Tuesday,20240116,CAD16099
16100,13:30:00,CAD,Median CPI (YoY) (Dec),0.036,0.034,0.036,Tuesday,20240116,CAD16100
16101,13:30:00,CAD,Trimmed CPI (YoY) (Dec),0.037,0.035,0.035,Tuesday,20240116,CAD16101
16103,13:30:00,CAD,Foreign Securities Purchases (Nov),11.43B,,-15.88B,Wednesday,20240117,CAD16103
16104,13:30:00,CAD,Foreign Securities Purchases by Canadians (Nov),12.530B,,-8.200B,Wednesday,20240117,CAD16104
16105,13:30:00,CAD,IPPI (MoM) (Dec),-0.015,-0.007,-0.003,Wednesday,20240117,CAD16105
16106,13:30:00,CAD,IPPI (YoY) (Dec),-0.027,,-0.02,Wednesday,20240117,CAD16106
16107,13:30:00,CAD,RMPI (MoM) (Dec),-0.049,-0.016,-0.049,Wednesday,20240117,CAD16107
16108,13:30:00,CAD,RMPI (YoY) (Dec),-0.079,,-0.054,Wednesday,20240117,CAD16108
16110,13:30:00,CAD,Core Retail Sales (MoM) (Nov),-0.005,-0.001,0.004,Friday,20240119,CAD16110
16111,13:30:00,CAD,Retail Sales (MoM) (Nov),-0.002,0,0.005,Friday,20240119,CAD16111
16112,20:30:00,CAD,CFTC CAD speculative net positions,-13.4K,,-7.4K,Friday,20240119,CAD16112
16114,13:30:00,CAD,New Housing Price Index (MoM) (Dec),0,0,-0.002,Tuesday,20240123,CAD16114
16117,14:45:00,CAD,BoC Interest Rate Decision,0.05,0.05,0.05,Wednesday,20240124,CAD16117
16121,13:30:00,CAD,Average Weekly Earnings (YoY) (Nov),0.041,,0.039,Thursday,20240125,CAD16121
16122,13:30:00,CAD,Manufacturing Sales (MoM),-0.006,,0.012,Thursday,20240125,CAD16122
16124,13:30:00,CAD,Wholesale Sales (MoM),0.008,,0.009,Friday,20240126,CAD16124
16125,16:00:00,CAD,Budget Balance (Nov),-4.01B,,-6.33B,Friday,20240126,CAD16125
16126,16:00:00,CAD,Budget Balance (YoY) (Nov),-19.14B,,-15.13B,Friday,20240126,CAD16126
16127,20:30:00,CAD,CFTC CAD speculative net positions,-8.5K,,-13.4K,Friday,20240126,CAD16127
16129,13:30:00,CAD,GDP (MoM) (Nov),0.002,0.001,0,Wednesday,20240131,CAD16129
16130,13:31:00,CAD,GDP (MoM) (Dec),0.003,,0.002,Wednesday,20240131,CAD16130
16132,14:30:00,CAD,S&P Global Canada Manufacturing PMI (Jan),48.3,,45.4,Thursday,20240201,CAD16132
16136,20:30:00,CAD,CFTC CAD speculative net positions,-2.4K,,-8.5K,Friday,20240202,CAD16136
16138,13:15:00,CAD,Reserve Assets Total (Jan),116.3B,,118.3B,Monday,20240205,CAD16138
16140,13:30:00,CAD,Building Permits (MoM) (Dec),-0.14,0.018,-0.05,Tuesday,20240206,CAD16140
16141,15:00:00,CAD,Ivey PMI n.s.a (Jan),54.4,,43.7,Tuesday,20240206,CAD16141
16142,15:00:00,CAD,Ivey PMI (Jan),56.5,55,56.3,Tuesday,20240206,CAD16142
16145,13:30:00,CAD,Exports (Dec),64.07B,,65.33B,Wednesday,20240207,CAD16145
16146,13:30:00,CAD,Imports (Dec),64.39B,,64.27B,Wednesday,20240207,CAD16146
16147,13:30:00,CAD,Trade Balance (Dec),-0.31B,1.10B,1.06B,Wednesday,20240207,CAD16147
16150,13:30:00,CAD,Avg hourly wages Permanent employee (Jan),0.053,,0.057,Friday,20240209,CAD16150
16151,13:30:00,CAD,Employment Change (Jan),37.3K,16.0K,12.3K,Friday,20240209,CAD16151
16152,13:30:00,CAD,Full Employment Change (Jan),-11.6K,,12.1K,Friday,20240209,CAD16152
16153,13:30:00,CAD,Part Time Employment Change (Jan),48.9K,,0.3K,Friday,20240209,CAD16153
16154,13:30:00,CAD,Participation Rate (Jan),0.653,,0.001,Friday,20240209,CAD16154
16155,13:30:00,CAD,Unemployment Rate (Jan),0.057,0.059,0.058,Friday,20240209,CAD16155
16156,14:30:00,CAD,BoC Senior Loan Officer Survey (Q4),5.8,,13.2,Friday,20240209,CAD16156
16157,20:30:00,CAD,CFTC CAD speculative net positions,-7.7K,,-2.4K,Friday,20240209,CAD16157
16159,13:30:00,CAD,New Motor Vehicle Sales (MoM),128.2K,,143.7K,Wednesday,20240214,CAD16159
16160,15:00:00,CAD,Thomson Reuters IPSOS PCSI (MoM) (Feb),47.38,,49.46,Wednesday,20240214,CAD16160
16162,13:15:00,CAD,Housing Starts (Jan),223.6K,236.0K,249.0K,Thursday,20240215,CAD16162
16163,13:30:00,CAD,Manufacturing Sales (MoM) (Dec),-0.007,-0.006,0.015,Thursday,20240215,CAD16163
16165,13:30:00,CAD,Foreign Securities Purchases (Dec),10.44B,-6.45B,11.31B,Friday,20240216,CAD16165
16166,13:30:00,CAD,Foreign Securities Purchases by Canadians (Dec),29.400B,,12.380B,Friday,20240216,CAD16166
16167,13:30:00,CAD,Wholesale Sales (MoM) (Dec),0.003,0.007,0.009,Friday,20240216,CAD16167
16168,20:30:00,CAD,CFTC CAD speculative net positions,-5.5K,,-7.7K,Friday,20240216,CAD16168
16174,13:30:00,CAD,IPPI (YoY) (Jan),-0.029,,-0.028,Monday,20240219,CAD16174
16175,13:30:00,CAD,IPPI (MoM) (Jan),-0.001,-0.001,-0.016,Monday,20240219,CAD16175
16176,13:30:00,CAD,RMPI (MoM) (Jan),0.012,0.007,-0.049,Monday,20240219,CAD16176
16177,13:30:00,CAD,RMPI (YoY) (Jan),-0.064,,-0.079,Monday,20240219,CAD16177
16179,13:30:00,CAD,Common CPI (YoY) (Jan),0.034,0.038,0.039,Tuesday,20240220,CAD16179
16180,13:30:00,CAD,Core CPI (YoY) (Jan),0.024,,0.026,Tuesday,20240220,CAD16180
16181,13:30:00,CAD,Core CPI (MoM) (Jan),0.001,,-0.005,Tuesday,20240220,CAD16181
16182,13:30:00,CAD,CPI (MoM) (Jan),0,0.004,-0.003,Tuesday,20240220,CAD16182
16183,13:30:00,CAD,CPI (YoY) (Jan),0.029,0.033,0.034,Tuesday,20240220,CAD16183
16184,13:30:00,CAD,Median CPI (YoY) (Jan),0.033,0.036,0.035,Tuesday,20240220,CAD16184
16185,13:30:00,CAD,Trimmed CPI (YoY) (Jan),0.034,0.036,0.037,Tuesday,20240220,CAD16185
16188,13:30:00,CAD,New Housing Price Index (MoM) (Jan),-0.001,0.001,0,Wednesday,20240221,CAD16188
16190,13:30:00,CAD,Core Retail Sales (MoM) (Dec),0.006,0.007,-0.004,Thursday,20240222,CAD16190
16191,13:30:00,CAD,Retail Sales (MoM) (Dec),0.009,0.008,-0.002,Thursday,20240222,CAD16191
16193,12:30:00,CAD,Corporate Profits (QoQ),0.027,,0.047,Friday,20240223,CAD16193
16194,16:00:00,CAD,Budget Balance (YoY) (Dec),-23.61B,,-19.14B,Friday,20240223,CAD16194
16195,16:00:00,CAD,Budget Balance (Dec),-4.47B,,-4.01B,Friday,20240223,CAD16195
16196,20:30:00,CAD,CFTC CAD speculative net positions,-0.9K,,-5.5K,Friday,20240223,CAD16196
16198,13:30:00,CAD,Manufacturing Sales (MoM),0.004,,-0.007,Monday,20240226,CAD16198
16199,13:30:00,CAD,Wholesale Sales (MoM),-0.006,,0.003,Monday,20240226,CAD16199
16201,13:30:00,CAD,Average Weekly Earnings (YoY) (Dec),0.0377,,0.0388,Wednesday,20240228,CAD16201
16202,13:30:00,CAD,Current Account (Q4),-1.6B,-1.9B,-4.7B,Wednesday,20240228,CAD16202
16204,13:30:00,CAD,GDP Implicit Price (QoQ) (Q4),0.014,,0.017,Thursday,20240229,CAD16204
16205,13:30:00,CAD,GDP (YoY) (Q4),0.0093,,0.0046,Thursday,20240229,CAD16205
16206,13:30:00,CAD,GDP (MoM) (Dec),0,0.002,0.002,Thursday,20240229,CAD16206
16207,13:30:00,CAD,GDP (QoQ) (Q4),0.002,,-0.001,Thursday,20240229,CAD16207
16208,13:30:00,CAD,GDP Annualized (QoQ) (Q4),0.01,0.008,-0.005,Thursday,20240229,CAD16208
16209,13:31:00,CAD,GDP (MoM) (Jan),0.004,,0.003,Thursday,20240229,CAD16209
16211,14:30:00,CAD,S&P Global Canada Manufacturing PMI (Feb),49.7,,48.3,Friday,20240301,CAD16211
16212,20:30:00,CAD,CFTC CAD speculative net positions,-1.4K,,-0.9K,Friday,20240301,CAD16212
16214,13:15:00,CAD,Reserve Assets Total (Feb),116.3B,,116.3B,Tuesday,20240305,CAD16214
16216,13:30:00,CAD,Labor Productivity (QoQ) (Q4),0.004,0.002,-0.005,Wednesday,20240306,CAD16216
16218,14:45:00,CAD,BoC Interest Rate Decision,0.05,0.05,0.05,Wednesday,20240306,CAD16218
16219,15:00:00,CAD,Ivey PMI n.s.a (Feb),56.3,,54.4,Wednesday,20240306,CAD16219
16220,15:00:00,CAD,Ivey PMI (Feb),53.9,,56.5,Wednesday,20240306,CAD16220
