,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
8562,8:30:00,CHF,procure.ch PMI (Dec),43,43,42.1,Wednesday,20240103,CHF8562
8564,20:30:00,CHF,CFTC CHF speculative net positions,-5.2K,,-3.4K,Friday,20240105,CHF8564
8566,7:30:00,CHF,Retail Sales (YoY) (Nov),0.007,0,-0.003,Monday,20240108,CHF8566
8567,7:30:00,CHF,CPI (YoY) (Dec),0.017,0.015,0.014,Monday,20240108,CHF8567
8568,7:30:00,CHF,CPI (MoM) (Dec),0,-0.002,-0.002,Monday,20240108,CHF8568
8570,6:45:00,CHF,Unemployment Rate n.s.a. (Dec),0.023,,0.021,Tuesday,20240109,CHF8570
8571,6:45:00,CHF,Unemployment Rate s.a. (Dec),0.022,0.022,0.021,Tuesday,20240109,CHF8571
8572,8:00:00,CHF,Foreign Reserves (USD) (Dec),653.7B,,642.4B,Tuesday,20240109,CHF8572
8574,20:30:00,CHF,CFTC CHF speculative net positions,-4.4K,,-5.2K,Friday,20240112,CHF8574
8585,7:30:00,CHF,PPI (MoM) (Dec),-0.006,-0.006,-0.009,Friday,20240119,CHF8585
8586,7:30:00,CHF,PPI (YoY) (Dec),-0.011,,-0.013,Friday,20240119,CHF8586
8588,20:30:00,CHF,CFTC CHF speculative net positions,-3.7K,,-4.4K,Friday,20240119,CHF8588
8590,8:00:00,CHF,M3 Money Supply (Dec),"1,136.2B",,"1,134.6B",Monday,20240122,CHF8590
8592,20:30:00,CHF,CFTC CHF speculative net positions,-5.2K,,-3.7K,Friday,20240126,CHF8592
8594,7:00:00,CHF,Trade Balance (Dec),1.248B,2.550B,3.833B,Tuesday,20240130,CHF8594
8595,8:00:00,CHF,KOF Leading Indicators (Jan),101.5,98.2,98,Tuesday,20240130,CHF8595
8597,7:30:00,CHF,Retail Sales (YoY) (Dec),-0.008,0.009,-0.015,Wednesday,20240131,CHF8597
8598,8:00:00,CHF,Official Reserves Assets (Dec),724.4B,,714.9B,Wednesday,20240131,CHF8598
8599,9:00:00,CHF,ZEW Expectations (Jan),-19.5,,-23.7,Wednesday,20240131,CHF8599
8601,8:30:00,CHF,procure.ch PMI (Jan),43.1,44.5,43,Thursday,20240201,CHF8601
8603,20:30:00,CHF,CFTC CHF speculative net positions,-3.9K,,-5.2K,Friday,20240202,CHF8603
8605,6:45:00,CHF,Unemployment Rate n.s.a. (Jan),0.025,,0.023,Wednesday,20240207,CHF8605
8606,6:45:00,CHF,Unemployment Rate s.a. (Jan),0.022,0.022,0.022,Wednesday,20240207,CHF8606
8607,8:00:00,CHF,Foreign Reserves (USD) (Jan),662.4B,,654.2B,Wednesday,20240207,CHF8607
8609,20:30:00,CHF,CFTC CHF speculative net positions,-5.6K,,-3.9K,Friday,20240209,CHF8609
8611,7:30:00,CHF,CPI (YoY) (Jan),0.013,0.017,0.017,Tuesday,20240213,CHF8611
8612,7:30:00,CHF,CPI (MoM) (Jan),0.002,0.006,0,Tuesday,20240213,CHF8612
8614,7:30:00,CHF,PPI (YoY) (Jan),-0.023,,-0.011,Thursday,20240215,CHF8614
8615,7:30:00,CHF,PPI (MoM) (Jan),-0.005,-0.002,-0.006,Thursday,20240215,CHF8615
8616,8:00:00,CHF,SECO Consumer Climate (Q1),-26,-33,-35,Thursday,20240215,CHF8616
8618,7:30:00,CHF,Industrial Production (YoY) (Q4),-0.004,,0.018,Friday,20240216,CHF8618
8619,20:30:00,CHF,CFTC CHF speculative net positions,-6.0K,,-5.6K,Friday,20240216,CHF8619
8621,7:00:00,CHF,Trade Balance (Jan),4.738B,2.350B,1.271B,Tuesday,20240220,CHF8621
8623,8:00:00,CHF,M3 Money Supply (Jan),"1,135.4B",,"1,136.1B",Wednesday,20240221,CHF8623
8625,7:30:00,CHF,Employment Level (Q4),5.488M,,5.465M,Friday,20240223,CHF8625
8627,20:30:00,CHF,CFTC CHF speculative net positions,-9.9K,,-6.0K,Friday,20240223,CHF8627
8629,9:00:00,CHF,ZEW Expectations (Feb),10.2,,-19.5,Wednesday,20240228,CHF8629
8631,8:00:00,CHF,KOF Leading Indicators (Feb),101.6,101.6,102.5,Thursday,20240229,CHF8631
8632,8:00:00,CHF,Official Reserves Assets (Jan),733.7B,,724.4B,Thursday,20240229,CHF8632
8633,8:00:00,CHF,GDP (YoY) (Q4),0.006,0.007,0.004,Thursday,20240229,CHF8633
8634,8:00:00,CHF,GDP (QoQ) (Q4),0.003,0.001,0.003,Thursday,20240229,CHF8634
8636,7:30:00,CHF,Retail Sales (YoY) (Jan),0.003,0.004,-0.001,Friday,20240301,CHF8636
8637,8:30:00,CHF,procure.ch PMI (Feb),44,44.3,43.1,Friday,20240301,CHF8637
8638,20:30:00,CHF,CFTC CHF speculative net positions,-12.0K,,-9.9K,Friday,20240301,CHF8638
8640,7:30:00,CHF,CPI (MoM) (Feb),0.006,0.005,0.002,Monday,20240304,CHF8640
8641,7:30:00,CHF,CPI (YoY) (Feb),0.012,0.011,0.013,Monday,20240304,CHF8641
8643,6:45:00,CHF,Unemployment Rate n.s.a. (Feb),0.024,,0.025,Thursday,20240307,CHF8643
8644,6:45:00,CHF,Unemployment Rate s.a. (Feb),0.022,0.022,0.022,Thursday,20240307,CHF8644
8645,8:00:00,CHF,Foreign Reserves (USD) (Feb),677.6B,,662.2B,Thursday,20240307,CHF8645
8647,20:30:00,CHF,CFTC CHF speculative net positions,-17.6K,,-12.0K,Friday,20240308,CHF8647
8649,8:00:00,CHF,SECO Consumer Climate,-42,-35,-41,Monday,20240311,CHF8649
8651,7:30:00,CHF,PPI (YoY) (Feb),-0.02,,-0.023,Thursday,20240314,CHF8651
8652,7:30:00,CHF,PPI (MoM) (Feb),0.001,0.002,-0.005,Thursday,20240314,CHF8652
8655,20:30:00,CHF,CFTC CHF speculative net positions,-17.9K,,-17.6K,Friday,20240315,CHF8655
8657,7:00:00,CHF,Trade Balance (Feb),3.662B,3.500B,4.701B,Tuesday,20240319,CHF8657
8660,8:00:00,CHF,M3 Money Supply (Feb),"1,130.1B",,"1,134.7B",Thursday,20240321,CHF8660
8661,8:30:00,CHF,SNB Interest Rate Decision (Q1),0.015,0.0175,0.0175,Thursday,20240321,CHF8661
8665,19:30:00,CHF,CFTC CHF speculative net positions,-20.5K,,-17.9K,Friday,20240322,CHF8665
8667,9:00:00,CHF,ZEW Expectations (Mar),11.5,,10.2,Wednesday,20240327,CHF8667
8671,8:00:00,CHF,KOF Leading Indicators (Mar),101.5,102.1,102,Thursday,20240328,CHF8671
8672,8:00:00,CHF,Official Reserves Assets (Feb),751.0B,,733.7B,Thursday,20240328,CHF8672
8675,19:30:00,CHF,CFTC CHF speculative net positions,-22.0K,,-20.5K,Friday,20240329,CHF8675
8679,6:30:00,CHF,Retail Sales (YoY) (Feb),-0.002,0.004,0.003,Tuesday,20240402,CHF8679
8680,7:30:00,CHF,procure.ch PMI (Mar),45.2,45,44,Tuesday,20240402,CHF8680
8682,6:30:00,CHF,CPI (YoY) (Mar),0.01,0.013,0.012,Thursday,20240404,CHF8682
8683,6:30:00,CHF,CPI (MoM) (Mar),0,0.003,0.006,Thursday,20240404,CHF8683
8685,7:00:00,CHF,Foreign Reserves (USD) (Mar),715.1B,,677.8B,Friday,20240405,CHF8685
8686,7:00:00,CHF,SECO Consumer Climate,-38,-41,-42,Friday,20240405,CHF8686
8687,19:30:00,CHF,CFTC CHF speculative net positions,-22.4K,,-22.0K,Friday,20240405,CHF8687
8689,5:45:00,CHF,Unemployment Rate n.s.a. (Mar),0.024,,0.024,Monday,20240408,CHF8689
8690,5:45:00,CHF,Unemployment Rate s.a. (Mar),0.023,0.022,0.022,Monday,20240408,CHF8690
8695,19:30:00,CHF,CFTC CHF speculative net positions,-31.8K,,-22.4K,Friday,20240412,CHF8695
8697,6:30:00,CHF,PPI (YoY) (Mar),-0.021,,-0.02,Monday,20240415,CHF8697
8698,6:30:00,CHF,PPI (MoM) (Mar),0.001,0.002,0.001,Monday,20240415,CHF8698
8700,6:00:00,CHF,Trade Balance (Mar),3.542B,3.220B,3.680B,Thursday,20240418,CHF8700
8702,19:30:00,CHF,CFTC CHF speculative net positions,-36.2K,,-31.8K,Friday,20240419,CHF8702
8704,7:00:00,CHF,M3 Money Supply (Mar),"1,136.9B",,"1,131.5B",Monday,20240422,CHF8704
8706,8:00:00,CHF,ZEW Expectations (Apr),17.6,,11.5,Wednesday,20240424,CHF8706
8709,19:30:00,CHF,CFTC CHF speculative net positions,-42.6K,,-36.2K,Friday,20240426,CHF8709
8711,7:00:00,CHF,KOF Leading Indicators (Apr),101.8,102.1,100.4,Tuesday,20240430,CHF8711
8712,7:00:00,CHF,Official Reserves Assets (Mar),794.9B,,751.0B,Tuesday,20240430,CHF8712
8716,6:30:00,CHF,Retail Sales (YoY) (Mar),-0.001,0.002,0.002,Thursday,20240502,CHF8716
8717,6:30:00,CHF,CPI (YoY) (Apr),0.014,0.011,0.01,Thursday,20240502,CHF8717
8718,6:30:00,CHF,CPI (MoM) (Apr),0.003,0.001,0,Thursday,20240502,CHF8718
8719,7:30:00,CHF,procure.ch PMI (Apr),41.4,45.5,45.2,Thursday,20240502,CHF8719
8721,19:30:00,CHF,CFTC CHF speculative net positions,-41.8K,,-42.6K,Friday,20240503,CHF8721
8725,5:45:00,CHF,Unemployment Rate n.s.a. (Apr),0.023,,0.024,Tuesday,20240507,CHF8725
8726,5:45:00,CHF,Unemployment Rate s.a. (Apr),0.023,0.023,0.023,Tuesday,20240507,CHF8726
8727,7:00:00,CHF,Foreign Reserves (USD) (Apr),720.4B,,715.6B,Tuesday,20240507,CHF8727
